,Movie,Year,Genre,Runtime,Rating,No.of.Ratings
93,Rakhta Charitra,2010,"Action, Biography, Crime            ",125,7.6,3718
94,Mirchi,2013,"Action, Drama            ",155,7.2,3708
95,Chatrapathi,2005,"Action, Drama            ",158,7.6,3700
96,C/o Kancharapalem,2018,Drama            ,152,9,3699
97,Sachein,2005,"Comedy, Drama, Romance            ",145,6.9,3643
98,Murari,2001,"Drama, Romance, Thriller            ",180,7.8,3630
99,Vikramarkudu,2006,Action            ,140,7.7,3571
100,Kuruthipunal,1995,"Action, Drama, Thriller            ",143,8.5,3513
101,Brindaavanam,2010,"Action, Comedy, Drama            ",169,7.1,3511
102,Panjaa,2011,"Action, Thriller            ",156,6.5,3479
103,Nuvvu Naaku Nachchav,2001,"Musical, Comedy, Family            ",184,8.7,3475
104,Gopala Gopala,2015,"Comedy, Drama, Fantasy            ",153,7.3,3433
105,Kaappaan,2019,"Action, Thriller            ",166,6.4,3410
106,Aagadu,2014,"Action, Comedy            ",165,5.4,3410
107,Masss,2015,"Action, Comedy, Horror            ",151,6,3384
108,Maanagaram,2017,"Action, Thriller            ",137,8.1,3371
109,Drushyam,2014,"Crime, Drama, Family            ",150,8.3,3344
110,Yamadonga,2007,"Action, Comedy, Fantasy            ",185,7.3,3341
111,S/O Satyamurthy,2015,"Action, Drama            ",162,6.9,3265
112,Tholi Prema,1998,"Drama, Romance            ",146,8.2,3211
113,Awe!,2018,Thriller            ,150,7.8,3208
114,Yatra,2018,"Biography, Drama, Romance            ",127,8.2,3193
115,Fidaa,2017,"Drama, Romance            ",144,7.5,3154
116,Oosaravelli,2011,"Action, Thriller            ",145,6.6,3122
117,Evaru,2019,"Crime, Drama, Thriller            ",118,8.2,3115
118,Odiyan,2018,"Action, Drama, Fantasy            ",167,5.5,3113
119,Khaidi No 150,2017,"Action, Drama            ",142,6,3107
120,NGK,2019,"Action, Drama            ",148,6,3099
121,Duvvada Jagannadham,2017,"Action, Comedy            ",152,5.6,3087
122,Bale Bale Magadivoy,2015,"Comedy, Romance            ",137,7.8,3073
123,Shiva,1989,"Action, Crime, Drama            ",161,8.1,3072
124,Manmadhudu,2002,"Comedy, Romance            ",142,8.3,3046
125,Mr Perfect,2011,"Drama, Romance            ",144,7.1,2917
126,Orange,2010,"Comedy, Drama, Romance            ",162,6.6,2837
127,Anirudh,2016,"Action, Drama, Family            ",156,4.3,2785
128,Gamyam,2008,Drama            ,120,8.3,2762
129,Kanche,2015,"Action, Drama, History            ",126,7.9,2755
130,Naayak,2013,Action            ,153,5.5,2749
131,Malliswari,2004,"Comedy, Romance            ",150,7.8,2747
132,Nuvvostanante Nenoddantana,2005,Romance            ,165,7.7,2744
133,Ye Maaya Chesave,2010,Romance            ,155,7.7,2697
134,Sagara Sangamam,1983,"Musical, Romance, Drama            ",160,8.8,2639
135,Rudhramadevi,2015,"Action, Biography, History            ",157,5.8,2607
136,Cameraman Gangatho Rambabu,2012,"Action, Drama            ",148,5.7,2582
137,Majili,2019,"Drama, Romance            ",154,7.2,2579
138,Uttama Villain,2015,"Comedy, Drama            ",171,7.2,2566
139,Arundhati,2009,"Horror, Mystery, Thriller            ",131,7.3,2564
140,Agnyaathavaasi,2018,"Action, Drama            ",158,4.5,2526
141,Pilla Zamindar,2011,"Comedy, Drama            ",148,7.7,2494
142,100% Love,2011,"Comedy, Drama, Romance            ",141,7,2493
143,Aa Naluguru,2004,Drama            ,141,8.5,2464
144,Darling,,"Comedy, Drama, Romance            ",151,7.3,2456
145,Aha Naa Pellanta,1987,Comedy            ,147,8.9,2438
146,Vinaya Vidheya Rama,2019,Action            ,146,3.3,2435
147,Happy,2006,"Action, Comedy, Drama            ",152,7,2424
148,Ala Modalaindi,2011,"Comedy, Drama, Romance            ",136,7.7,2394
149,Prasthanam,2010,"Action, Drama            ",153,8.3,2390
150,Dhee,2007,Comedy            ,142,7.4,2383
151,Iddarammayilatho,2013,"Action, Thriller            ",137,5.7,2376
152,Simhadri,2003,"Action, Drama            ",170,7.4,2371
153,Taxiwaala,2018,"Comedy, Horror, Thriller            ",137,7,2368
154,Parugu,2008,"Action, Romance            ",159,7,2355
155,Rakhta Charitra 2,2010,"Action, Biography, Crime            ",135,6.4,2338
156,Maryada Ramanna,2010,"Action, Comedy, Drama            ",125,7.4,2337
157,Rachcha,2012,Action            ,143,4.3,2336
158,HIT,2020,"Crime, Drama, Mystery            ",125,7.8,2327
159,Nota,2018,Drama            ,145,6.4,2309
160,U Turn,2018,"Mystery, Thriller            ",128,7,2307
161,Thammudu,1999,"Action, Drama, Sport            ",160,7.8,2279
162,Zanjeer,2013,"Action, Drama            ",137,3.2,2249
163,Ezra,2017,"Horror, Mystery, Thriller            ",147,6.7,2243
164,Bhaagamathie,2018,"Action, Horror, Thriller            ",138,7,2217
165,Adhurs,2010,"Action, Comedy, Thriller            ",150,6.7,2196
166,Aditya 369,1991,"Family, Sci-Fi, Adventure            ",140,8.4,2179
167,Sardaar Gabbar Singh,2016,"Action, Comedy            ",164,4.8,2178
168,Gitanjali,1989,"Drama, Romance            ",150,8.2,2176
169,Ninnu Kori,2017,"Comedy, Romance            ",137,7.6,2166
170,Indra,2002,"Action, Drama            ",173,7.4,2129
171,Vishwaroopam 2,2018,"Action, Thriller            ",145,5.9,2074
172,Oru Adaar Love,2019,"Comedy, Romance            ",145,5.5,2059
173,Tholi Prema,2018,Romance            ,137,7.3,2058
174,Brochevarevarura,2019,Comedy            ,138,8,2053
175,7/G Rainbow Colony,2004,"Drama, Romance            ",185,7.8,2042
176,Tagore,2003,"Action, Drama            ",175,7.8,2032
177,Gang Leader,2019,"Action, Comedy            ",155,7.6,2027
178,Bujjigaadu: Made in Chennai,2008,"Action, Drama            ",150,6.4,1970
179,Sye,2004,"Action, Drama, Sport            ",167,7.4,1961
180,Yevade Subramanyam,2015,"Adventure, Comedy, Drama            ",150,7.6,1944
181,Mathu Vadalara,2019,"Comedy, Crime, Thriller            ",130,8.3,1935
182,Katamarayudu,2017,"Action, Comedy            ",146,5.7,1933
183,Maari 2,2018,"Action, Comedy            ",143,5.6,1925
184,Gautamiputra Satakarni,2017,"Action, History            ",131,6.5,1909
185,Rx 100,2018,"Action, Drama, Romance            ",153,6.9,1897
186,A... Aa,2016,"Comedy, Romance            ",152,6.8,1892
187,Aalavandhan,2001,"Action, Thriller            ",177,7.1,1891
188,F2: Fun and Frustration,2019,Comedy            ,148,6.2,1878
189,The House Next Door,2017,Horror            ,137,6.8,1865
190,Krishna Gaadi Veera Prema Gaadha,2016,"Action, Comedy, Romance            ",148,7.5,1854
191,Prince,2010,"Action, Sci-Fi, Thriller            ",138,4.2,1838
192,Sankarabharanam,1980,"Drama, Musical, Romance            ",143,8.7,1829
193,Thoongaavanam,2015,"Action, Thriller            ",128,7,1821
194,Govindudu Andari Vaadele,2014,"Action, Drama            ",160,5.6,1815
195,Anand,2004,"Comedy, Drama, Musical            ",180,7.8,1814
196,Raja Kumarudu,1999,"Comedy, Drama, Romance            ",0,6.7,1806
197,Baba,2002,"Action, Drama, Fantasy            ",179,5.1,1795
198,Dhammu,2012,"Action, Drama            ",155,5.2,1794
